station_european_code	component_code	component_name	component_caption	measurement_unit	measurement_european_group_code	statistics_period	statistics_year	statistics_average_group	statistic_shortname	statistic_name	statistic_value	statistics_percentage_valid	statistics_number_valid	statistics_calculated
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2002	day	P50	50 percentile	17.417	97.260	355	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2002	day	Mean	annual mean	23.109	97.260	355	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2002	day	P95	95 percentile	56.333	97.260	355	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2002	day	P98	98 percentile	67.292	97.260	355	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2002	day	Max	maximum	99.917	97.260	355	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2002	day	Max4	4th highest value	83.833	97.260	355	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2002	day	Days(c > 125)	days with c > 125 ug/m3	0.000	97.260	355	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2002	hour	P50	50 percentile	15.000	97.329	8526	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2002	hour	Mean	annual mean	23.056	97.329	8526	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2002	hour	P95	95 percentile	70.000	97.329	8526	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2002	hour	P98	98 percentile	93.000	97.329	8526	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2002	hour	P99_9	99.9 percentile	168.000	97.329	8526	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2002	hour	Max	maximum	297.000	97.329	8526	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2002	hour	Max25	25th highest value	136.000	97.329	8526	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2002	hour	Hours(c > 350)	hours with c > 350 ug/m3	0.000	97.329	8526	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2003	day	P50	50 percentile	23.125	72.877	266	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2003	day	Mean	annual mean	25.386	72.877	266	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2003	day	P95	95 percentile	51.083	72.877	266	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2003	day	P98	98 percentile	61.667	72.877	266	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2003	day	Max	maximum	74.958	72.877	266	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2003	day	Max4	4th highest value	66.833	72.877	266	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2003	day	Days(c > 125)	days with c > 125 ug/m3	0.000	72.877	266	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2003	hour	P50	50 percentile	20.000	73.642	6451	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2003	hour	Mean	annual mean	25.272	73.642	6451	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2003	hour	P95	95 percentile	65.000	73.642	6451	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2003	hour	P98	98 percentile	82.000	73.642	6451	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2003	hour	P99_9	99.9 percentile	142.000	73.642	6451	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2003	hour	Max	maximum	376.000	73.642	6451	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2003	hour	Max25	25th highest value	118.000	73.642	6451	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2003	hour	Hours(c > 350)	hours with c > 350 ug/m3	1.000	73.642	6451	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2004	day	P50	50 percentile	12.667	64.481	236	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2004	day	Mean	annual mean	18.763	64.481	236	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2004	day	P95	95 percentile	52.583	64.481	236	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2004	day	P98	98 percentile	58.792	64.481	236	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2004	day	Max	maximum	82.458	64.481	236	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2004	day	Max4	4th highest value	72.875	64.481	236	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2004	day	Days(c > 125)	days with c > 125 ug/m3	0.000	64.481	236	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2004	hour	P50	50 percentile	11.000	64.117	5632	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2004	hour	Mean	annual mean	18.762	64.117	5632	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2004	hour	P95	95 percentile	62.000	64.117	5632	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2004	hour	P98	98 percentile	86.000	64.117	5632	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2004	hour	P99_9	99.9 percentile	248.000	64.117	5632	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2004	hour	Max	maximum	466.000	64.117	5632	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2004	hour	Max25	25th highest value	135.000	64.117	5632	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2004	hour	Hours(c > 350)	hours with c > 350 ug/m3	3.000	64.117	5632	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2008	day	P50	50 percentile	3.125	42.623	156	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2008	day	Mean	annual mean	4.261	42.623	156	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2008	day	P95	95 percentile	9.333	42.623	156	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2008	day	P98	98 percentile	21.000	42.623	156	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2008	day	Max	maximum	27.182	42.623	156	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2008	day	Max4	4th highest value	21.000	42.623	156	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2008	day	Days(c > 125)	days with c > 125 ug/m3	0.000	42.623	156	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2008	hour	P50	50 percentile	3.000	42.464	3730	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2008	hour	Mean	annual mean	4.249	42.464	3730	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2008	hour	P95	95 percentile	11.000	42.464	3730	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2008	hour	P98	98 percentile	19.000	42.464	3730	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2008	hour	P99_9	99.9 percentile	39.000	42.464	3730	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2008	hour	Max	maximum	47.000	42.464	3730	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2008	hour	Max25	25th highest value	28.000	42.464	3730	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2008	hour	Hours(c > 350)	hours with c > 350 ug/m3	0.000	42.464	3730	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2001	day	P50	50 percentile	55.833	91.781	335	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2001	day	Mean	annual mean	63.915	91.781	335	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2001	day	P95	95 percentile	127.208	91.781	335	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2001	day	P98	98 percentile	155.042	91.781	335	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2001	day	Max	maximum	203.208	91.781	335	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2001	day	Max36	36th highest value	103.875	91.781	335	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2001	day	Max8	8th highest value	155.042	91.781	335	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2001	day	Days(c > 50)	days with c > 50 ug/m3	208.000	91.781	335	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2001	hour	P50	50 percentile	53.000	93.779	8215	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2001	hour	Mean	annual mean	63.551	93.779	8215	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2001	hour	P95	95 percentile	144.000	93.779	8215	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2001	hour	P98	98 percentile	188.000	93.779	8215	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2001	hour	Max	maximum	503.000	93.779	8215	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2002	day	P50	50 percentile	64.292	98.082	358	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2002	day	Mean	annual mean	70.785	98.082	358	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2002	day	P95	95 percentile	133.083	98.082	358	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2002	day	P98	98 percentile	146.417	98.082	358	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2002	day	Max	maximum	232.417	98.082	358	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2002	day	Max36	36th highest value	110.833	98.082	358	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2002	day	Max8	8th highest value	146.417	98.082	358	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2002	day	Days(c > 50)	days with c > 50 ug/m3	278.000	98.082	358	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2002	hour	P50	50 percentile	62.000	98.185	8601	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2002	hour	Mean	annual mean	70.797	98.185	8601	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2002	hour	P95	95 percentile	148.000	98.185	8601	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2002	hour	P98	98 percentile	185.000	98.185	8601	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2002	hour	Max	maximum	431.000	98.185	8601	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2003	day	P50	50 percentile	61.083	88.767	324	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2003	day	Mean	annual mean	64.045	88.767	324	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2003	day	P95	95 percentile	110.958	88.767	324	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2003	day	P98	98 percentile	129.292	88.767	324	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2003	day	Max	maximum	265.250	88.767	324	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2003	day	Max36	36th highest value	98.083	88.767	324	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2003	day	Max8	8th highest value	124.250	88.767	324	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2003	day	Days(c > 50)	days with c > 50 ug/m3	219.000	88.767	324	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2003	hour	P50	50 percentile	56.000	89.737	7861	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2003	hour	Mean	annual mean	63.991	89.737	7861	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2003	hour	P95	95 percentile	131.000	89.737	7861	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2003	hour	P98	98 percentile	169.000	89.737	7861	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2003	hour	Max	maximum	414.000	89.737	7861	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2004	day	P50	50 percentile	42.708	14.481	53	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2004	day	Mean	annual mean	49.501	14.481	53	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2004	day	P95	95 percentile	86.667	14.481	53	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2004	day	P98	98 percentile	99.375	14.481	53	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2004	day	Max	maximum	125.708	14.481	53	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2004	day	Max36	36th highest value	33.167	14.481	53	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2004	day	Max8	8th highest value	77.917	14.481	53	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2004	day	Days(c > 50)	days with c > 50 ug/m3	21.000	14.481	53	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2004	hour	P50	50 percentile	39.000	14.378	1263	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2004	hour	Mean	annual mean	49.502	14.378	1263	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2004	hour	P95	95 percentile	111.000	14.378	1263	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2004	hour	P98	98 percentile	139.000	14.378	1263	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2004	hour	Max	maximum	302.000	14.378	1263	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2007	day	P50	50 percentile	40.000	73.973	270	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2007	day	Mean	annual mean	42.530	73.973	270	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2007	day	P95	95 percentile	75.000	73.973	270	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2007	day	P98	98 percentile	100.000	73.973	270	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2007	day	Max	maximum	141.000	73.973	270	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2007	day	Max36	36th highest value	55.000	73.973	270	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2007	day	Max8	8th highest value	89.000	73.973	270	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2007	day	Days(c > 50)	days with c > 50 ug/m3	51.000	73.973	270	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2008	day	P50	50 percentile	51.000	80.601	295	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2008	day	Mean	annual mean	56.020	80.601	295	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2008	day	P95	95 percentile	96.000	80.601	295	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2008	day	P98	98 percentile	105.000	80.601	295	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2008	day	Max	maximum	139.000	80.601	295	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2008	day	Max36	36th highest value	78.000	80.601	295	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2008	day	Max8	8th highest value	104.000	80.601	295	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2008	day	Days(c > 50)	days with c > 50 ug/m3	155.000	80.601	295	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2009	day	P50	50 percentile	40.000	69.589	254	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2009	day	Mean	annual mean	42.839	69.589	254	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2009	day	P95	95 percentile	69.000	69.589	254	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2009	day	P98	98 percentile	80.000	69.589	254	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2009	day	Max	maximum	92.000	69.589	254	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2009	day	Max36	36th highest value	58.000	69.589	254	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2009	day	Max8	8th highest value	77.000	69.589	254	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2009	day	Days(c > 50)	days with c > 50 ug/m3	67.000	69.589	254	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	P50	50 percentile	40.000	89.041	325	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	Mean	annual mean	46.222	89.041	325	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	P95	95 percentile	85.000	89.041	325	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	P98	98 percentile	110.000	89.041	325	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	Max	maximum	257.000	89.041	325	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	Max36	36th highest value	68.000	89.041	325	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	Max8	8th highest value	106.000	89.041	325	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	Days(c > 50)	days with c > 50 ug/m3	96.000	89.041	325	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2011	day	P50	50 percentile	35.000	99.178	362	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2011	day	Mean	annual mean	40.696	99.178	362	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2011	day	P95	95 percentile	82.000	99.178	362	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2011	day	P98	98 percentile	103.000	99.178	362	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2011	day	Max	maximum	116.000	99.178	362	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2011	day	Max36	36th highest value	67.000	99.178	362	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2011	day	Max8	8th highest value	103.000	99.178	362	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2011	day	Days(c > 50)	days with c > 50 ug/m3	87.000	99.178	362	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2012	day	P50	50 percentile	37.000	93.989	344	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2012	day	Mean	annual mean	41.468	93.989	344	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2012	day	P95	95 percentile	79.000	93.989	344	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2012	day	P98	98 percentile	96.000	93.989	344	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2012	day	Max	maximum	122.000	93.989	344	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2012	day	Max36	36th highest value	64.000	93.989	344	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2012	day	Max8	8th highest value	96.000	93.989	344	Y
GR0018A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2012	day	Days(c > 50)	days with c > 50 ug/m3	79.000	93.989	344	Y
GR0018A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2001	day	P50	50 percentile	43.708	96.164	351	Y
GR0018A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2001	day	Mean	annual mean	44.290	96.164	351	Y
GR0018A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2001	day	P95	95 percentile	80.500	96.164	351	Y
GR0018A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2001	day	P98	98 percentile	89.583	96.164	351	Y
GR0018A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2001	day	Max	maximum	100.250	96.164	351	Y
GR0018A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2001	dymax	Mean	annual mean	69.038	96.164	351	Y
GR0018A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2001	dymax	P50	50 percentile	74.000	96.164	351	Y
GR0018A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2001	dymax	P95	95 percentile	114.125	96.164	351	Y
GR0018A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2001	dymax	P98	98 percentile	120.875	96.164	351	Y
GR0018A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2001	dymax	Max	maximum	144.625	96.164	351	Y
GR0018A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2001	dymax	Max26	26th highest value	110.500	96.164	351	Y
GR0018A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2001	dymax	Days(c > 120)	days with c > 120 ug/m3	9.000	96.164	351	Y
GR0018A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2001	dymax	SOMO35	SOMO35 (c > 70 ug/m3, year,corrected)	4611.000	96.164	351	Y
GR0018A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2001	hour	P50	50 percentile	37.000	96.610	8463	Y
GR0018A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2001	hour	Mean	annual mean	44.299	96.610	8463	Y
GR0018A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2001	hour	P95	95 percentile	106.000	96.610	8463	Y
GR0018A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2001	hour	P98	98 percentile	116.000	96.610	8463	Y
GR0018A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2001	hour	Max	maximum	158.000	96.610	8463	Y
GR0018A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2001	hour	AOT40	AOT40 (c > 80 ug/m3,3 months,corrected)	14646.000	92.391	1020	Y
